ts_code,name,industry,industry_l1,industry_l2,area,close,pct_chg,pe,pb,total_mv,revenue,gross_profit,gpr,net_profit,npm,list_date,ytd_2024,ytd_2025,ytd_2026
600369.SH,西南证券,证券Ⅱ,非银金融,证券Ⅱ,重庆,4.22,-0.47,-5.80,1.44,280.42,32.07,,,10.62,33.12,2001-01-09,5.22,-8.1,-11.23
688005.SH,容百科技,电池,电力设备,电池,浙江,39.1,1.85,10.45,10.11,279.56,122.67,9.09,7.41,,,2019-07-22,27.5,62.51,-5.68
688516.SH,奥特维,光伏设备,电力设备,光伏设备,江苏,88.61,1.78,95.78,15.06,279.12,63.97,20.5,32.04,4.45,5.84,2020-05-21,6.19,54.86,24.92
688563.SH,航材股份,航空装备Ⅱ,国防军工,航空装备Ⅱ,北京,62.02,3.25,6.11,10.00,279.09,28.58,8.73,30.55,5.36,18.8,2023-07-19,-13.34,-1.82,-10.93
688726.SH,拉普拉斯,光伏设备,电力设备,光伏设备,深圳,68.89,-1.96,91.36,21.41,279.0,54.62,16.05,29.38,6.23,11.41,2024-10-29,-14.58,33.91,58.75
002518.SZ,科士达,其他电源设备Ⅱ,电力设备,其他电源设备Ⅱ,深圳,47.88,-2.19,-1.32,5.18,278.66,52.7,15.28,28.98,6.11,11.68,2010-12-07,99.81,146.33,7.18
000603.SZ,盛达资源,工业金属,有色金属,工业金属,北京,40.17,3.13,29.75,9.46,277.17,24.61,14.18,57.61,5.32,25.37,1996-08-23,185.7,158.54,-5.45
601567.SH,三星电气,电网设备,电力设备,电网设备,浙江,19.71,-2.76,-14.38,-5.69,276.93,143.61,40.15,27.96,12.74,8.7,2011-06-15,-11.09,-41.73,-29.17
600563.SH,法拉电子,元件,电子,元件,福建,123.0,-0.91,17.20,7.43,276.75,53.27,17.11,32.12,11.92,22.39,2002-12-10,84.14,34.26,44.03
688819.SH,天能股份,电池,电力设备,电池,浙江,28.45,-1.04,-14.36,-18.32,276.53,457.92,65.73,14.35,15.91,3.54,2021-01-18,-7.73,-4.99,-25.96
600486.SH,扬农化工,农化制品,基础化工,农化制品,江苏,68.21,-1.03,-1.70,-8.80,276.25,118.7,26.11,21.99,12.86,10.84,2002-04-25,-2.72,6.47,-16.15
003021.SZ,兆威机电,电机Ⅱ,电力设备,电机Ⅱ,深圳,103.35,2.73,-16.77,11.43,275.94,17.16,5.77,33.66,2.54,14.82,2020-12-04,48.06,28.38,-21.5
688097.SH,博众精工,自动化设备,机械设备,自动化设备,江苏,60.96,0.31,61.48,5.32,272.49,65.66,18.56,28.26,5.93,9.02,2021-05-12,89.08,136.23,54.77
300012.SZ,华测检测,专业服务,社会服务,专业服务,深圳,16.16,-1.94,20.60,-2.65,271.97,66.21,32.19,48.62,10.16,15.4,2009-10-30,5.78,21.47,2.27
600641.SH,先导基电,房地产开发,房地产,房地产开发,上海,28.63,1.45,62.30,5.10,271.13,18.52,3.65,19.72,,,1993-04-07,51.37,85.3,41.96
603939.SH,益丰药房,医药商业,医药生物,医药商业,湖南,22.22,-0.4,2.30,-3.93,269.31,244.33,96.16,39.36,16.78,7.49,2015-02-17,-38.08,-9.28,-4.3
000400.SZ,许继电气,电网设备,电力设备,电网设备,河南,26.41,0.49,2.72,5.77,269.12,149.92,35.02,23.36,11.67,8.75,1997-04-18,28.84,7.64,2.72
600012.SH,皖通高速,铁路公路,交通运输,铁路公路,安徽,15.74,1.55,6.21,-2.30,269.0,67.22,29.91,44.5,18.77,27.66,2003-01-07,69.24,6.61,15.41
688266.SH,泽璟制药-U,化学制药,医药生物,化学制药,江苏,101.45,-2.92,9.44,2.04,268.84,8.1,7.33,90.42,,,2020-01-23,,,
600316.SH,洪都航空,航空装备Ⅱ,国防军工,航空装备Ⅱ,江西,37.49,2.52,7.39,3.71,268.8,74.49,2.2,2.95,0.4,0.53,2000-12-15,37.28,-3.83,-15.69
688503.SH,聚和材料,光伏设备,电力设备,光伏设备,江苏,110.96,-1.85,81.90,9.12,268.52,145.93,10.69,7.32,4.2,2.83,2022-12-09,151.27,103.58,39.87
301219.SZ,腾远钴业,能源金属,有色金属,能源金属,江西,91.0,1.63,33.27,10.84,268.45,83.4,23.12,27.73,11.11,13.18,2022-03-17,114.42,80.81,12.46
600704.SH,物产中大,物流,交通运输,物流,浙江,5.19,0.78,-5.12,3.18,268.37,5964.63,136.92,2.3,36.23,0.92,1996-06-06,28.17,8.91,-11.35
002792.SZ,通宇通讯,通信设备,通信,通信设备,广东,51.18,-0.52,19.86,21.08,268.18,11.1,2.24,20.17,0.41,3.69,2016-03-28,211.33,175.31,-14.45
600575.SH,淮河能源,煤炭开采,煤炭,煤炭开采,安徽,3.73,1.36,9.71,0.81,267.33,388.25,37.12,9.56,16.98,5.54,2003-03-28,78.54,16.53,21.28
300003.SZ,乐普医疗,医疗器械,医药生物,医疗器械,北京,14.49,0.35,-8.35,1.76,267.05,64.83,41.49,64.01,9.62,15.72,2009-10-30,-17.1,19.44,-33.21
600546.SH,山煤国际,煤炭开采,煤炭,煤炭开采,山西,13.45,-3.03,33.30,-0.74,266.58,204.72,72.9,35.61,11.66,8.25,2003-07-31,-10.23,39.45,50.0
300738.SZ,奥飞数据,通信服务,通信,通信服务,广东,27.06,-1.2,46.35,15.89,266.54,25.21,8.76,34.73,1.32,6.14,2018-01-19,105.18,60.33,13.66
603728.SH,鸣志电器,电机Ⅱ,电力设备,电机Ⅱ,上海,63.48,3.49,-12.26,11.47,265.98,27.62,10.05,36.39,0.61,2.27,2017-05-09,-2.04,14.75,-16.57
002007.SZ,华兰生物,生物制品,医药生物,生物制品,河南,14.54,0.83,-3.90,0.48,265.65,45.95,26.43,57.53,9.4,21.76,2004-06-25,-32.38,-9.67,-8.85
000429.SZ,粤高速Ａ,铁路公路,交通运输,铁路公路,广东,12.69,1.76,7.72,-0.86,265.35,44.7,28.84,64.51,18.01,55.68,1998-02-20,88.3,7.46,22.07
